;class;Land cover;Edge length;Edge density;Number of Patches;Median patch area;Mean patch perimeter
0;1;19755292500.0;591230220.0;0.0015929575175782614;1159443;1800.0;0.06167263836656994
1;2;27112492800.0;670802700.0;0.0018073504493339248;1170799;1800.0;0.06997303429219899
2;3;24746594400.0;568013760.0;0.0015304051763116817;944751;2700.0;0.05925087494950315
3;4;30605300100.0;714895920.0;0.0019261512546669677;1186283;2700.0;0.07457250499277593
4;5;27620279100.0;742585440.0;0.002000755406400168;1287590;2700.0;0.07746086491811222
5;6;21149606700.0;603021180.0;0.0016247260194851235;1094690;2700.0;0.06290258293397309
6;7;18166070700.0;566120460.0;0.0015253040391133312;1109436;1800.0;0.059053380433872926
7;8;16768565100.0;545676600.0;0.0014702219418630967;1075608;2700.0;0.05692083235145971
8;9;11751504300.0;426912660.0;0.0011502350659550729;920305;1800.0;0.04453228124287297
9;10;18213958800.0;664177200.0;0.0017894992981652398;1403811;1800.0;0.06928191338185997
10;11;12823779600.0;478761900.0;0.0012899329938429937;1040234;1800.0;0.049940799726546144
11;12;18236957400.0;660051780.0;0.0017783841376408545;1570529;1800.0;0.06885158083617415
12;13;12722077800.0;550714260.0;0.001483794959778188;1432826;1800.0;0.057446321554581056
13;14;18003675600.0;808684980.0;0.002178848060648229;2084376;1800.0;0.08435586457414937
14;15;15808827600.0;591610260.0;0.0015939814631657863;1143999;2700.0;0.061712281449008914
15;16;42478357500.0;1487242800.0;0.004007093207657996;2886551;1800.0;0.15513785364190422
16;17;35189194500.0;1375229520.0;0.0037052947027632383;3000001;1800.0;0.1434534808178158
